2026-07-14 11:49:19,531 [INFO] tokens per iteration will be: 8,192
2026-07-14 11:49:19,531 [INFO] run directory: out/tinystories_flashatt4_ctx256_bs32_20260714_114919
2026-07-14 11:49:19,531 [INFO] Initializing new model with block_size=256
2026-07-14 11:49:20,908 [INFO] model has 123.59M parameters
2026-07-14 11:49:20,910 [INFO] compiling the model...
2026-07-14 11:49:20,911 [INFO] compile time 0.00s
2026-07-14 11:49:26,466 [INFO] step 0: val loss 10.9909
2026-07-14 11:49:47,397 [INFO] iter 50: loss 4.3812, time 182.01ms, mfu 11.06%, tok/s 45,009
2026-07-14 11:49:47,580 [INFO] iter 51: loss 4.3535, time 183.93ms, mfu 11.05%, tok/s 44,538
2026-07-14 11:49:47,763 [INFO] iter 52: loss 4.2675, time 183.26ms, mfu 11.05%, tok/s 44,701
2026-07-14 11:49:47,945 [INFO] iter 53: loss 4.2823, time 181.04ms, mfu 11.06%, tok/s 45,251
2026-07-14 11:49:48,128 [INFO] iter 54: loss 4.4037, time 183.69ms, mfu 11.06%, tok/s 44,596
2026-07-14 11:49:48,312 [INFO] iter 55: loss 4.3128, time 183.71ms, mfu 11.05%, tok/s 44,592
2026-07-14 11:49:48,496 [INFO] iter 56: loss 4.3523, time 183.22ms, mfu 11.05%, tok/s 44,712
2026-07-14 11:49:48,680 [INFO] iter 57: loss 4.2415, time 184.56ms, mfu 11.04%, tok/s 44,386
2026-07-14 11:49:48,861 [INFO] iter 58: loss 4.2695, time 181.84ms, mfu 11.05%, tok/s 45,052
2026-07-14 11:49:49,044 [INFO] iter 59: loss 4.2886, time 181.80ms, mfu 11.05%, tok/s 45,061
2026-07-14 11:49:49,227 [INFO] iter 60: loss 4.3544, time 183.57ms, mfu 11.05%, tok/s 44,626
2026-07-14 11:49:49,411 [INFO] iter 61: loss 4.1795, time 183.91ms, mfu 11.04%, tok/s 44,543
2026-07-14 11:49:49,594 [INFO] iter 62: loss 4.2301, time 182.96ms, mfu 11.04%, tok/s 44,775
2026-07-14 11:49:49,777 [INFO] iter 63: loss 4.2432, time 183.24ms, mfu 11.04%, tok/s 44,706
2026-07-14 11:49:49,960 [INFO] iter 64: loss 4.1829, time 183.18ms, mfu 11.04%, tok/s 44,722
2026-07-14 11:49:50,143 [INFO] iter 65: loss 4.1581, time 182.16ms, mfu 11.05%, tok/s 44,973
2026-07-14 11:49:50,326 [INFO] iter 66: loss 4.1015, time 183.53ms, mfu 11.04%, tok/s 44,637
2026-07-14 11:49:50,509 [INFO] iter 67: loss 4.3315, time 183.16ms, mfu 11.04%, tok/s 44,726
2026-07-14 11:49:50,693 [INFO] iter 68: loss 4.0508, time 183.96ms, mfu 11.04%, tok/s 44,533
2026-07-14 11:49:50,874 [INFO] iter 69: loss 4.0696, time 180.91ms, mfu 11.05%, tok/s 45,282
2026-07-14 11:49:51,057 [INFO] iter 70: loss 4.1885, time 182.76ms, mfu 11.05%, tok/s 44,825
2026-07-14 11:49:51,241 [INFO] iter 71: loss 4.1266, time 184.47ms, mfu 11.04%, tok/s 44,409
2026-07-14 11:49:51,425 [INFO] iter 72: loss 4.0838, time 183.31ms, mfu 11.04%, tok/s 44,689
2026-07-14 11:49:51,608 [INFO] iter 73: loss 4.0634, time 183.49ms, mfu 11.04%, tok/s 44,646
2026-07-14 11:49:51,790 [INFO] iter 74: loss 4.0696, time 182.37ms, mfu 11.04%, tok/s 44,920
2026-07-14 11:49:51,972 [INFO] iter 75: loss 4.1250, time 181.62ms, mfu 11.05%, tok/s 45,105
2026-07-14 11:49:52,155 [INFO] iter 76: loss 4.1443, time 182.60ms, mfu 11.05%, tok/s 44,862
2026-07-14 11:49:52,338 [INFO] iter 77: loss 3.9917, time 183.88ms, mfu 11.05%, tok/s 44,551
2026-07-14 11:49:52,520 [INFO] iter 78: loss 4.0428, time 181.28ms, mfu 11.06%, tok/s 45,189
2026-07-14 11:49:52,703 [INFO] iter 79: loss 3.9323, time 182.66ms, mfu 11.06%, tok/s 44,848
2026-07-14 11:49:52,886 [INFO] iter 80: loss 4.0123, time 183.06ms, mfu 11.06%, tok/s 44,750
2026-07-14 11:49:53,068 [INFO] iter 81: loss 3.8793, time 182.51ms, mfu 11.06%, tok/s 44,886
2026-07-14 11:49:53,253 [INFO] iter 82: loss 4.0477, time 184.51ms, mfu 11.05%, tok/s 44,400
2026-07-14 11:49:53,435 [INFO] iter 83: loss 3.9801, time 182.72ms, mfu 11.05%, tok/s 44,834
2026-07-14 11:49:53,618 [INFO] iter 84: loss 3.8994, time 182.96ms, mfu 11.05%, tok/s 44,774
2026-07-14 11:49:53,802 [INFO] iter 85: loss 4.0303, time 183.70ms, mfu 11.04%, tok/s 44,594
2026-07-14 11:49:53,985 [INFO] iter 86: loss 3.9789, time 182.69ms, mfu 11.05%, tok/s 44,841
2026-07-14 11:49:54,169 [INFO] iter 87: loss 3.8617, time 183.99ms, mfu 11.04%, tok/s 44,524
2026-07-14 11:49:54,352 [INFO] iter 88: loss 4.0405, time 183.07ms, mfu 11.04%, tok/s 44,748
2026-07-14 11:49:54,536 [INFO] iter 89: loss 3.9849, time 183.65ms, mfu 11.04%, tok/s 44,605
2026-07-14 11:49:54,718 [INFO] iter 90: loss 3.9949, time 182.82ms, mfu 11.04%, tok/s 44,809
2026-07-14 11:49:54,900 [INFO] iter 91: loss 3.9293, time 182.40ms, mfu 11.04%, tok/s 44,913
2026-07-14 11:49:55,083 [INFO] iter 92: loss 3.9161, time 182.65ms, mfu 11.05%, tok/s 44,851
2026-07-14 11:49:55,267 [INFO] iter 93: loss 4.0069, time 184.43ms, mfu 11.04%, tok/s 44,419
2026-07-14 11:49:55,451 [INFO] iter 94: loss 3.8624, time 183.59ms, mfu 11.03%, tok/s 44,621
2026-07-14 11:49:55,632 [INFO] iter 95: loss 3.8793, time 181.54ms, mfu 11.04%, tok/s 45,125
2026-07-14 11:49:55,816 [INFO] iter 96: loss 3.8730, time 183.11ms, mfu 11.04%, tok/s 44,737
2026-07-14 11:49:55,997 [INFO] iter 97: loss 3.8096, time 181.92ms, mfu 11.05%, tok/s 45,031
2026-07-14 11:49:56,182 [INFO] iter 98: loss 3.8140, time 184.60ms, mfu 11.04%, tok/s 44,376
2026-07-14 11:49:56,365 [INFO] iter 99: loss 3.7316, time 182.12ms, mfu 11.05%, tok/s 44,981
2026-07-14 11:49:57,354 [INFO] step 100: val loss 3.8158
2026-07-14 11:49:57,355 [INFO] saving checkpoint to out/tinystories_flashatt4_ctx256_bs32_20260714_114919/ckpt.pt
