2026-07-13 22:17:17,476 [INFO] tokens per iteration will be: 32,768
2026-07-13 22:17:17,476 [INFO] Initializing a new model from scratch
2026-07-13 22:17:17,476 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-13 22:17:19,027 [INFO] model has 123.59M parameters
2026-07-13 22:17:19,478 [INFO] compiling the model... (takes a ~minute)
2026-07-13 22:17:23,998 [INFO] step 0: val loss 10.9672, gpu_util n/a%, mem_allocated 0.53GB
2026-07-13 22:17:31,934 [INFO] iter 0: loss 10.9662, time 12020.24ms, mfu -100.00%, tok/s 2,726
2026-07-13 22:17:32,592 [INFO] iter 1: loss 10.8005, time 35.58ms, mfu -100.00%, tok/s 920,944
2026-07-13 22:17:33,247 [INFO] iter 2: loss 10.5353, time 655.40ms, mfu -100.00%, tok/s 49,997
2026-07-13 22:17:33,902 [INFO] iter 3: loss 10.2741, time 653.32ms, mfu -100.00%, tok/s 50,156
2026-07-13 22:17:34,559 [INFO] iter 4: loss 10.0553, time 655.07ms, mfu -100.00%, tok/s 50,022
2026-07-13 22:17:35,210 [INFO] iter 5: loss 9.8706, time 657.63ms, mfu 12.29%, tok/s 49,827
2026-07-13 22:17:35,871 [INFO] iter 6: loss 9.7227, time 650.09ms, mfu 12.31%, tok/s 50,405
2026-07-13 22:17:36,529 [INFO] iter 7: loss 9.6331, time 661.29ms, mfu 12.30%, tok/s 49,552
2026-07-13 22:17:37,181 [INFO] iter 8: loss 9.5452, time 657.70ms, mfu 12.30%, tok/s 49,822
2026-07-13 22:17:37,840 [INFO] iter 9: loss 9.5295, time 651.69ms, mfu 12.31%, tok/s 50,282
2026-07-13 22:17:38,496 [INFO] iter 10: loss 9.4862, time 660.20ms, mfu 12.30%, tok/s 49,634
2026-07-13 22:17:39,153 [INFO] iter 11: loss 9.4464, time 656.71ms, mfu 12.30%, tok/s 49,897
2026-07-13 22:17:39,811 [INFO] iter 12: loss 9.3540, time 655.74ms, mfu 12.31%, tok/s 49,971
2026-07-13 22:17:40,465 [INFO] iter 13: loss 9.2527, time 658.47ms, mfu 12.30%, tok/s 49,764
2026-07-13 22:17:41,119 [INFO] iter 14: loss 9.1189, time 654.34ms, mfu 12.31%, tok/s 50,078
2026-07-13 22:17:41,776 [INFO] iter 15: loss 9.0630, time 654.08ms, mfu 12.31%, tok/s 50,098
2026-07-13 22:17:42,431 [INFO] iter 16: loss 8.8474, time 655.94ms, mfu 12.32%, tok/s 49,956
2026-07-13 22:17:43,084 [INFO] iter 17: loss 8.8595, time 655.17ms, mfu 12.32%, tok/s 50,014
2026-07-13 22:17:43,742 [INFO] iter 18: loss 8.8469, time 652.16ms, mfu 12.33%, tok/s 50,246
2026-07-13 22:17:44,395 [INFO] iter 19: loss 8.7018, time 660.09ms, mfu 12.32%, tok/s 49,642
2026-07-13 22:17:45,050 [INFO] iter 20: loss 8.6196, time 652.40ms, mfu 12.33%, tok/s 50,227
2026-07-13 22:17:45,706 [INFO] iter 21: loss 8.6494, time 654.23ms, mfu 12.33%, tok/s 50,086
2026-07-13 22:17:46,359 [INFO] iter 22: loss 8.5716, time 656.46ms, mfu 12.33%, tok/s 49,916
2026-07-13 22:17:47,015 [INFO] iter 23: loss 8.4447, time 652.35ms, mfu 12.33%, tok/s 50,231
2026-07-13 22:17:47,668 [INFO] iter 24: loss 8.4133, time 656.21ms, mfu 12.33%, tok/s 49,935
2026-07-13 22:17:48,319 [INFO] iter 25: loss 8.3448, time 653.24ms, mfu 12.34%, tok/s 50,162
2026-07-13 22:17:48,979 [INFO] iter 26: loss 8.3367, time 652.67ms, mfu 12.34%, tok/s 50,206
2026-07-13 22:17:49,635 [INFO] iter 27: loss 8.2348, time 660.05ms, mfu 12.33%, tok/s 49,645
2026-07-13 22:17:50,286 [INFO] iter 28: loss 8.2952, time 654.86ms, mfu 12.33%, tok/s 50,038
2026-07-13 22:17:50,943 [INFO] iter 29: loss 8.0801, time 651.62ms, mfu 12.34%, tok/s 50,287
2026-07-13 22:17:51,601 [INFO] iter 30: loss 8.0552, time 656.89ms, mfu 12.34%, tok/s 49,883
2026-07-13 22:17:52,252 [INFO] iter 31: loss 7.9727, time 658.42ms, mfu 12.33%, tok/s 49,767
2026-07-13 22:17:52,908 [INFO] iter 32: loss 7.9632, time 649.88ms, mfu 12.34%, tok/s 50,422
2026-07-13 22:17:53,566 [INFO] iter 33: loss 7.9109, time 655.95ms, mfu 12.34%, tok/s 49,955
