2026-07-12 16:41:55,612 [INFO] tokens per iteration will be: 491,520
2026-07-12 16:41:55,612 [INFO] Initializing a new model from scratch
2026-07-12 16:41:55,612 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-12 16:41:57,169 [INFO] model has 123.59M parameters
2026-07-12 16:41:57,617 [INFO] compiling the model... (takes a ~minute)
2026-07-12 16:42:28,702 [INFO] step 0: train loss 10.9658, val loss 10.9655, gpu_util n/a%, mem_allocated 0.53GB
2026-07-12 16:50:31,353 [INFO] iter 49: loss 7.9081, time 9638.62ms, mfu 13.98%, tok/s 50,995
2026-07-12 16:50:40,989 [INFO] iter 50: loss 7.7796, time 9633.62ms, mfu 13.98%, tok/s 51,021
2026-07-12 16:50:50,629 [INFO] iter 51: loss 7.7914, time 9639.01ms, mfu 13.98%, tok/s 50,993
2026-07-12 16:51:00,259 [INFO] iter 52: loss 7.8867, time 9629.74ms, mfu 13.98%, tok/s 51,042
2026-07-12 16:51:09,891 [INFO] iter 53: loss 7.6825, time 9631.84ms, mfu 13.98%, tok/s 51,031
2026-07-12 16:51:19,520 [INFO] iter 54: loss 7.6975, time 9630.87ms, mfu 13.98%, tok/s 51,036
2026-07-12 16:51:29,152 [INFO] iter 55: loss 7.5919, time 9632.02ms, mfu 13.98%, tok/s 51,030
2026-07-12 16:51:38,788 [INFO] iter 56: loss 7.5093, time 9635.55ms, mfu 13.98%, tok/s 51,011
2026-07-12 16:51:48,409 [INFO] iter 57: loss 7.5285, time 9621.96ms, mfu 13.98%, tok/s 51,083
2026-07-12 16:51:58,049 [INFO] iter 58: loss 7.5620, time 9639.90ms, mfu 13.98%, tok/s 50,988
2026-07-12 16:52:07,685 [INFO] iter 59: loss 7.5543, time 9636.63ms, mfu 13.98%, tok/s 51,005
2026-07-12 16:52:17,312 [INFO] iter 60: loss 7.5713, time 9625.72ms, mfu 13.98%, tok/s 51,063
2026-07-12 16:52:26,939 [INFO] iter 61: loss 7.4470, time 9624.26ms, mfu 13.98%, tok/s 51,071
2026-07-12 16:52:36,576 [INFO] iter 62: loss 7.3071, time 9640.87ms, mfu 13.98%, tok/s 50,983
