2026-07-13 21:27:39,512 [INFO] tokens per iteration will be: 65,536
2026-07-13 21:27:39,512 [INFO] Initializing a new model from scratch
2026-07-13 21:27:39,512 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-13 21:27:41,071 [INFO] model has 123.59M parameters
2026-07-13 21:27:41,524 [INFO] compiling the model... (takes a ~minute)
2026-07-13 21:29:02,644 [INFO] iter 49: loss 6.9932, time 1264.85ms, mfu 13.26%, tok/s 51,813
2026-07-13 21:29:08,377 [INFO] step 50: val loss 6.9525, gpu_util n/a%, mem_allocated 4.86GB
2026-07-13 21:29:08,377 [INFO] saving checkpoint to out
2026-07-13 21:29:11,873 [INFO] iter 50: loss 6.9701, time 9234.26ms, mfu 12.12%, tok/s 7,097
2026-07-13 21:29:13,137 [INFO] iter 51: loss 6.8669, time 1266.46ms, mfu 12.23%, tok/s 51,747
2026-07-13 21:29:14,405 [INFO] iter 52: loss 7.0015, time 1263.10ms, mfu 12.34%, tok/s 51,885
2026-07-13 21:29:15,664 [INFO] iter 53: loss 6.8942, time 1268.42ms, mfu 12.42%, tok/s 51,668
2026-07-13 21:29:16,927 [INFO] iter 54: loss 6.7947, time 1258.36ms, mfu 12.51%, tok/s 52,080
2026-07-13 21:29:18,191 [INFO] iter 55: loss 6.8046, time 1265.08ms, mfu 12.59%, tok/s 51,804
2026-07-13 21:29:19,458 [INFO] iter 56: loss 6.8334, time 1261.92ms, mfu 12.66%, tok/s 51,934
2026-07-13 21:29:20,720 [INFO] iter 57: loss 6.7746, time 1267.18ms, mfu 12.71%, tok/s 51,718
2026-07-13 21:29:21,984 [INFO] iter 58: loss 6.8405, time 1261.28ms, mfu 12.77%, tok/s 51,960
2026-07-13 21:29:23,248 [INFO] iter 59: loss 6.8485, time 1264.19ms, mfu 12.82%, tok/s 51,840
2026-07-13 21:29:24,512 [INFO] iter 60: loss 6.7603, time 1264.40ms, mfu 12.86%, tok/s 51,832
2026-07-13 21:29:25,772 [INFO] iter 61: loss 6.7602, time 1263.71ms, mfu 12.91%, tok/s 51,860
2026-07-13 21:29:27,032 [INFO] iter 62: loss 6.7627, time 1258.26ms, mfu 12.95%, tok/s 52,085
2026-07-13 21:29:28,294 [INFO] iter 63: loss 6.6896, time 1261.90ms, mfu 12.98%, tok/s 51,934
2026-07-13 21:29:29,562 [INFO] iter 64: loss 6.6866, time 1262.09ms, mfu 13.01%, tok/s 51,927
