2026-07-13 22:44:49,780 [INFO] tokens per iteration will be: 16,384
2026-07-13 22:44:49,780 [INFO] Initializing a new model from scratch
2026-07-13 22:44:49,780 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-13 22:44:51,338 [INFO] model has 123.59M parameters
2026-07-13 22:44:51,798 [INFO] compiling the model... (takes a ~minute)
2026-07-13 22:44:57,715 [INFO] step 0: val loss 11.0007, gpu_util n/a%, mem_allocated 0.53GB
2026-07-13 22:45:05,037 [INFO] iter 0: loss 10.9977, time 12795.25ms, mfu -100.00%, tok/s 1,280
2026-07-13 22:45:05,395 [INFO] iter 1: loss 10.8163, time 96.18ms, mfu -100.00%, tok/s 170,338
2026-07-13 22:45:05,743 [INFO] iter 2: loss 10.5098, time 294.74ms, mfu -100.00%, tok/s 55,588
2026-07-13 22:45:06,090 [INFO] iter 3: loss 10.2462, time 348.28ms, mfu -100.00%, tok/s 47,043
2026-07-13 22:45:06,441 [INFO] iter 4: loss 10.0257, time 344.12ms, mfu -100.00%, tok/s 47,611
2026-07-13 22:45:06,786 [INFO] iter 5: loss 9.8217, time 352.09ms, mfu 11.27%, tok/s 46,534
2026-07-13 22:45:07,137 [INFO] iter 6: loss 9.7195, time 348.62ms, mfu 11.28%, tok/s 46,997
2026-07-13 22:45:07,490 [INFO] iter 7: loss 9.5992, time 348.93ms, mfu 11.29%, tok/s 46,955
2026-07-13 22:45:07,838 [INFO] iter 8: loss 9.5055, time 352.14ms, mfu 11.29%, tok/s 46,528
2026-07-13 22:45:08,184 [INFO] iter 9: loss 9.4776, time 348.57ms, mfu 11.30%, tok/s 47,003
2026-07-13 22:45:08,535 [INFO] iter 10: loss 9.4610, time 344.08ms, mfu 11.32%, tok/s 47,616
2026-07-13 22:45:08,883 [INFO] iter 11: loss 9.3743, time 353.36ms, mfu 11.31%, tok/s 46,366
2026-07-13 22:45:09,229 [INFO] iter 12: loss 9.3325, time 345.53ms, mfu 11.33%, tok/s 47,417
2026-07-13 22:45:09,579 [INFO] iter 13: loss 9.2658, time 345.95ms, mfu 11.34%, tok/s 47,359
2026-07-13 22:45:09,926 [INFO] iter 14: loss 9.1368, time 351.22ms, mfu 11.34%, tok/s 46,649
2026-07-13 22:45:10,271 [INFO] iter 15: loss 9.0897, time 346.16ms, mfu 11.35%, tok/s 47,331
2026-07-13 22:45:10,622 [INFO] iter 16: loss 8.9525, time 345.47ms, mfu 11.37%, tok/s 47,426
2026-07-13 22:45:10,967 [INFO] iter 17: loss 8.9098, time 350.82ms, mfu 11.36%, tok/s 46,702
2026-07-13 22:45:11,312 [INFO] iter 18: loss 8.8422, time 346.47ms, mfu 11.37%, tok/s 47,288
2026-07-13 22:45:11,664 [INFO] iter 19: loss 8.7263, time 343.60ms, mfu 11.39%, tok/s 47,683
2026-07-13 22:45:12,012 [INFO] iter 20: loss 8.6987, time 352.54ms, mfu 11.37%, tok/s 46,474
2026-07-13 22:45:12,358 [INFO] iter 21: loss 8.5180, time 348.59ms, mfu 11.38%, tok/s 47,000
2026-07-13 22:45:12,710 [INFO] iter 22: loss 8.6242, time 344.68ms, mfu 11.39%, tok/s 47,534
2026-07-13 22:45:13,057 [INFO] iter 23: loss 8.4666, time 352.02ms, mfu 11.38%, tok/s 46,543
2026-07-13 22:45:13,410 [INFO] iter 24: loss 8.5254, time 347.26ms, mfu 11.38%, tok/s 47,180
2026-07-13 22:45:13,754 [INFO] iter 25: loss 8.3528, time 354.80ms, mfu 11.36%, tok/s 46,178
2026-07-13 22:45:14,101 [INFO] iter 26: loss 8.3612, time 341.84ms, mfu 11.39%, tok/s 47,929
2026-07-13 22:45:14,455 [INFO] iter 27: loss 8.2226, time 347.59ms, mfu 11.39%, tok/s 47,136
2026-07-13 22:45:14,800 [INFO] iter 28: loss 8.2932, time 353.37ms, mfu 11.37%, tok/s 46,365
2026-07-13 22:45:15,147 [INFO] iter 29: loss 8.2103, time 345.55ms, mfu 11.39%, tok/s 47,415
2026-07-13 22:45:15,497 [INFO] iter 30: loss 8.0596, time 345.52ms, mfu 11.40%, tok/s 47,418
2026-07-13 22:45:15,844 [INFO] iter 31: loss 8.0758, time 353.44ms, mfu 11.38%, tok/s 46,355
