2026-07-14 11:50:43,638 [INFO] tokens per iteration will be: 16,384
2026-07-14 11:50:43,638 [INFO] run directory: out/tinystories_flashatt4_ctx512_bs32_20260714_115043
2026-07-14 11:50:43,638 [INFO] Initializing new model with block_size=512
2026-07-14 11:50:45,015 [INFO] model has 123.59M parameters
2026-07-14 11:50:45,018 [INFO] compiling the model...
2026-07-14 11:50:45,018 [INFO] compile time 0.00s
2026-07-14 11:50:51,638 [INFO] step 0: val loss 11.0302
2026-07-14 11:51:03,443 [INFO] iter 0: loss 11.0205, time 18402.80ms, mfu -100.00%, tok/s 890
2026-07-14 11:51:03,788 [INFO] iter 1: loss 10.2578, time 349.78ms, mfu -100.00%, tok/s 46,841
2026-07-14 11:51:04,122 [INFO] iter 2: loss 9.6624, time 333.72ms, mfu -100.00%, tok/s 49,095
2026-07-14 11:51:04,457 [INFO] iter 3: loss 9.3256, time 335.45ms, mfu -100.00%, tok/s 48,841
2026-07-14 11:51:04,790 [INFO] iter 4: loss 9.1486, time 331.70ms, mfu -100.00%, tok/s 49,394
2026-07-14 11:51:05,124 [INFO] iter 5: loss 9.0373, time 334.90ms, mfu 12.52%, tok/s 48,922
2026-07-14 11:51:05,460 [INFO] iter 6: loss 8.9245, time 336.00ms, mfu 12.51%, tok/s 48,762
2026-07-14 11:51:05,793 [INFO] iter 7: loss 8.7761, time 332.56ms, mfu 12.52%, tok/s 49,266
2026-07-14 11:51:06,126 [INFO] iter 8: loss 8.6273, time 333.44ms, mfu 12.53%, tok/s 49,137
2026-07-14 11:51:06,461 [INFO] iter 9: loss 8.6201, time 334.39ms, mfu 12.53%, tok/s 48,997
2026-07-14 11:51:06,795 [INFO] iter 10: loss 8.3897, time 334.15ms, mfu 12.53%, tok/s 49,032
2026-07-14 11:51:07,134 [INFO] iter 11: loss 8.2329, time 338.51ms, mfu 12.51%, tok/s 48,401
2026-07-14 11:51:07,469 [INFO] iter 12: loss 8.0405, time 336.07ms, mfu 12.51%, tok/s 48,752
2026-07-14 11:51:07,807 [INFO] iter 13: loss 7.8438, time 337.15ms, mfu 12.50%, tok/s 48,596
2026-07-14 11:51:08,141 [INFO] iter 14: loss 7.6784, time 334.09ms, mfu 12.51%, tok/s 49,040
2026-07-14 11:51:08,474 [INFO] iter 15: loss 7.5498, time 333.43ms, mfu 12.51%, tok/s 49,138
2026-07-14 11:51:08,812 [INFO] iter 16: loss 7.5095, time 337.76ms, mfu 12.50%, tok/s 48,509
2026-07-14 11:51:09,146 [INFO] iter 17: loss 7.2207, time 334.03ms, mfu 12.51%, tok/s 49,049
2026-07-14 11:51:09,481 [INFO] iter 18: loss 7.0437, time 334.74ms, mfu 12.51%, tok/s 48,945
2026-07-14 11:51:09,819 [INFO] iter 19: loss 6.8619, time 337.95ms, mfu 12.50%, tok/s 48,480
2026-07-14 11:51:10,154 [INFO] iter 20: loss 6.6446, time 335.50ms, mfu 12.50%, tok/s 48,835
2026-07-14 11:51:10,490 [INFO] iter 21: loss 6.3803, time 336.03ms, mfu 12.49%, tok/s 48,757
2026-07-14 11:51:10,827 [INFO] iter 22: loss 6.1521, time 336.30ms, mfu 12.49%, tok/s 48,719
2026-07-14 11:51:11,162 [INFO] iter 23: loss 6.1022, time 334.99ms, mfu 12.49%, tok/s 48,909
2026-07-14 11:51:11,496 [INFO] iter 24: loss 5.9163, time 334.20ms, mfu 12.50%, tok/s 49,024
2026-07-14 11:51:11,828 [INFO] iter 25: loss 5.7487, time 332.75ms, mfu 12.51%, tok/s 49,238
2026-07-14 11:51:12,163 [INFO] iter 26: loss 5.6239, time 334.21ms, mfu 12.51%, tok/s 49,023
2026-07-14 11:51:12,498 [INFO] iter 27: loss 5.5360, time 335.61ms, mfu 12.51%, tok/s 48,818
2026-07-14 11:51:12,834 [INFO] iter 28: loss 5.3864, time 335.96ms, mfu 12.51%, tok/s 48,768
2026-07-14 11:51:13,170 [INFO] iter 29: loss 5.2673, time 335.47ms, mfu 12.50%, tok/s 48,840
2026-07-14 11:51:13,505 [INFO] iter 30: loss 5.1312, time 334.90ms, mfu 12.51%, tok/s 48,921
2026-07-14 11:51:13,841 [INFO] iter 31: loss 5.1057, time 336.40ms, mfu 12.50%, tok/s 48,705
