2026-07-14 11:48:23,777 [INFO] tokens per iteration will be: 4,096
2026-07-14 11:48:23,777 [INFO] run directory: out/tinystories_flashatt4_ctx128_bs32_20260714_114823
2026-07-14 11:48:23,777 [INFO] Initializing new model with block_size=128
2026-07-14 11:48:25,337 [INFO] model has 123.59M parameters
2026-07-14 11:48:25,754 [INFO] compiling the model...
2026-07-14 11:48:26,141 [INFO] compile time 0.39s
2026-07-14 11:48:30,584 [INFO] step 0: val loss 11.0758
2026-07-14 11:48:37,887 [INFO] iter 0: loss 11.0733, time 11729.79ms, mfu -100.00%, tok/s 349
2026-07-14 11:48:38,019 [INFO] iter 1: loss 10.2499, time 129.65ms, mfu -100.00%, tok/s 31,592
2026-07-14 11:48:38,125 [INFO] iter 2: loss 9.6785, time 106.65ms, mfu -100.00%, tok/s 38,407
2026-07-14 11:48:38,231 [INFO] iter 3: loss 9.3782, time 105.37ms, mfu -100.00%, tok/s 38,874
2026-07-14 11:48:38,336 [INFO] iter 4: loss 9.2311, time 105.21ms, mfu -100.00%, tok/s 38,933
2026-07-14 11:48:38,441 [INFO] iter 5: loss 9.1114, time 104.49ms, mfu 9.49%, tok/s 39,201
2026-07-14 11:48:38,546 [INFO] iter 6: loss 9.0477, time 105.02ms, mfu 9.49%, tok/s 39,002
2026-07-14 11:48:38,652 [INFO] iter 7: loss 8.8946, time 105.74ms, mfu 9.48%, tok/s 38,737
2026-07-14 11:48:38,758 [INFO] iter 8: loss 8.7489, time 105.75ms, mfu 9.47%, tok/s 38,732
2026-07-14 11:48:38,863 [INFO] iter 9: loss 8.5445, time 105.88ms, mfu 9.46%, tok/s 38,686
2026-07-14 11:48:38,969 [INFO] iter 10: loss 8.4829, time 106.02ms, mfu 9.45%, tok/s 38,634
2026-07-14 11:48:39,075 [INFO] iter 11: loss 8.6919, time 105.85ms, mfu 9.44%, tok/s 38,697
2026-07-14 11:48:39,181 [INFO] iter 12: loss 8.2233, time 106.24ms, mfu 9.43%, tok/s 38,553
2026-07-14 11:48:39,287 [INFO] iter 13: loss 8.0522, time 106.00ms, mfu 9.42%, tok/s 38,642
2026-07-14 11:48:39,393 [INFO] iter 14: loss 7.8111, time 105.22ms, mfu 9.42%, tok/s 38,928
2026-07-14 11:48:39,498 [INFO] iter 15: loss 7.7750, time 105.58ms, mfu 9.42%, tok/s 38,794
2026-07-14 11:48:39,604 [INFO] iter 16: loss 7.4834, time 104.75ms, mfu 9.43%, tok/s 39,104
2026-07-14 11:48:39,709 [INFO] iter 17: loss 7.3533, time 106.11ms, mfu 9.42%, tok/s 38,600
2026-07-14 11:48:39,815 [INFO] iter 18: loss 7.0910, time 105.69ms, mfu 9.42%, tok/s 38,755
2026-07-14 11:48:39,921 [INFO] iter 19: loss 6.8465, time 106.06ms, mfu 9.41%, tok/s 38,618
2026-07-14 11:48:40,027 [INFO] iter 20: loss 6.7029, time 106.13ms, mfu 9.40%, tok/s 38,593
2026-07-14 11:48:40,133 [INFO] iter 21: loss 6.5349, time 105.92ms, mfu 9.40%, tok/s 38,672
2026-07-14 11:48:40,238 [INFO] iter 22: loss 6.4307, time 105.63ms, mfu 9.40%, tok/s 38,776
2026-07-14 11:48:40,344 [INFO] iter 23: loss 6.1188, time 105.53ms, mfu 9.40%, tok/s 38,813
2026-07-14 11:48:40,449 [INFO] iter 24: loss 6.1131, time 105.44ms, mfu 9.40%, tok/s 38,845
2026-07-14 11:48:40,555 [INFO] iter 25: loss 5.8468, time 105.13ms, mfu 9.40%, tok/s 38,961
2026-07-14 11:48:40,660 [INFO] iter 26: loss 5.8142, time 105.62ms, mfu 9.40%, tok/s 38,781
2026-07-14 11:48:40,765 [INFO] iter 27: loss 5.6208, time 104.37ms, mfu 9.41%, tok/s 39,246
2026-07-14 11:48:40,870 [INFO] iter 28: loss 5.5242, time 104.89ms, mfu 9.42%, tok/s 39,050
2026-07-14 11:48:40,975 [INFO] iter 29: loss 5.3476, time 105.61ms, mfu 9.41%, tok/s 38,784
2026-07-14 11:48:41,081 [INFO] iter 30: loss 5.3250, time 105.71ms, mfu 9.41%, tok/s 38,747
2026-07-14 11:48:41,187 [INFO] iter 31: loss 5.1214, time 106.05ms, mfu 9.41%, tok/s 38,623
2026-07-14 11:48:41,293 [INFO] iter 32: loss 5.0631, time 105.71ms, mfu 9.40%, tok/s 38,747
