2026-07-14 11:56:52,116 [INFO] tokens per iteration will be: 65,536
2026-07-14 11:56:52,116 [INFO] run directory: out/tinystories_flashatt4_ctx2048_bs32_20260714_115652
2026-07-14 11:56:52,116 [INFO] Initializing new model with block_size=2048
2026-07-14 11:56:53,517 [INFO] model has 123.59M parameters
2026-07-14 11:56:53,520 [INFO] compiling the model...
2026-07-14 11:56:53,520 [INFO] compile time 0.00s
2026-07-14 11:57:06,078 [INFO] step 0: val loss 10.9534
2026-07-14 11:57:08,397 [INFO] iter 0: loss 10.9517, time 14852.86ms, mfu -100.00%, tok/s 4,412
2026-07-14 11:57:10,067 [INFO] iter 1: loss 10.2129, time 1675.00ms, mfu -100.00%, tok/s 39,126
2026-07-14 11:57:11,735 [INFO] iter 2: loss 9.6536, time 1668.02ms, mfu -100.00%, tok/s 39,290
2026-07-14 11:57:13,410 [INFO] iter 3: loss 9.2886, time 1674.59ms, mfu -100.00%, tok/s 39,136
2026-07-14 11:57:15,073 [INFO] iter 4: loss 9.1109, time 1663.09ms, mfu -100.00%, tok/s 39,406
2026-07-14 11:57:16,747 [INFO] iter 5: loss 9.0009, time 1673.77ms, mfu 12.15%, tok/s 39,155
2026-07-14 11:57:18,419 [INFO] iter 6: loss 8.8996, time 1672.21ms, mfu 12.15%, tok/s 39,191
2026-07-14 11:57:20,088 [INFO] iter 7: loss 8.7010, time 1668.79ms, mfu 12.15%, tok/s 39,272
2026-07-14 11:57:21,759 [INFO] iter 8: loss 8.5788, time 1671.36ms, mfu 12.15%, tok/s 39,211
2026-07-14 11:57:23,434 [INFO] iter 9: loss 8.4772, time 1674.48ms, mfu 12.15%, tok/s 39,138
2026-07-14 11:57:25,102 [INFO] iter 10: loss 8.3877, time 1668.35ms, mfu 12.16%, tok/s 39,282
2026-07-14 11:57:26,781 [INFO] iter 11: loss 8.1665, time 1678.82ms, mfu 12.15%, tok/s 39,037
2026-07-14 11:57:28,450 [INFO] iter 12: loss 7.9839, time 1669.16ms, mfu 12.15%, tok/s 39,263
2026-07-14 11:57:30,133 [INFO] iter 13: loss 7.7615, time 1683.35ms, mfu 12.15%, tok/s 38,932
2026-07-14 11:57:31,799 [INFO] iter 14: loss 7.6526, time 1665.75ms, mfu 12.15%, tok/s 39,343
